Sentence,Period,Year,Structure,ClauseType,Construction,Mverbf,Mfiniteness,MatrixMood,Mmoodrase,Everbf,Everbfiniteness,Everbmood,Everbmoodrase,Complementizer
no credian que fuesse por su jnpotencia. Porque en las cosas qu'el se aquexaua de fazer no le fallecia ,1300,1379-1384 ,no creer que V,non-interrogative,other,credian,finite,ind,ind,fuesse,finite,subj,subj1,That
"non cree que ay a él algunt prouecho en trabajarse por estorçer los males o quitar los bienes, pues que ya ",1400,c1450,no creer que V,non-interrogative,other,cree,finite,ind,ind,ay,finite,ind,ind,That
no cree que cabe en blanco pecho y risa tan suave. Antes quiere creer que bien ha sido mudado Astolfo ,1500,1549,no creer que V,non-interrogative,other,cree,finite,ind,ind,cabe,finite,ind,ind,That
si no cree que consiste principalmente en perfeccionar ,1800,1877,no creer que V,non-interrogative,other,cree,finite,ind,ind,consiste,finite,ind,ind,That
non cree que es tenudo de ffazer aquella cosa. quel demanda non es digna cosa al cauallero echar las Armas ,1200,a1260,no creer que V,non-interrogative,other,cree,finite,ind,ind,es,finite,ind,ind,That
si ya no cree que es honra y bien ufano ser muerto o preso por tan fuerte mano.» Pues como los tres ,1500,1549,no creer que V,non-interrogative,other,cree,finite,ind,ind,es,finite,ind,ind,That
no cree que está acá. ,1500,1574,no creer que V,non-interrogative,other,cree,finite,ind,ind,esta,finite,ind,ind,That
"no cree que ha comido; antes se le llena el vientre que la gana. Pide de beber con la boca llena, danle la copa",1600,1654,no creer que V,non-interrogative,other,cree,finite,ind,ind,ha,finite,ind,ind,That
"Que si no cree que ha sido la maldita pobreza la que ha obligado a esas mujeres... —se interrumpió, agotado ",1900,1975,no creer que V,non-interrogative,other,cree,finite,ind,ind,ha,finite,ind,ind,That
"no cree que hay otra cosa en que nadie se deba emplear, ni buscar sino a quien ella busca y a quien ella ",1500,c1578,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"no cree que hay Providencia Divina, o fía más de sus artes que della? No por esto quiero al príncipe tan ",1600,1640-1642 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"No cree  que hay obra más excelente en el mundo que la más estrafalaria de las comedias, y por un m",1700,1785,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"no cree que hay familiares, espectros, lamias, brujas de copete, vampiros, mágica blanca, y mágica ",1800,1834,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"no cree que hay otra vida, otro juez, otra ley, después de nuestras leyes, nuestros jueces y nuestra existencia",1800,1877,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"no cree que hay un Dios que vela sobre sus acciones, que se considera como un señor único de su conducta, ",1900,1940,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"no cree que hay Dios, que no es lo mismo",1900,1937,no creer que V,non-interrogative,other,cree,finite,ind,ind,hay,finite,ind,ind,That
"no cree que mató  animales para ello, pues, según el mismo, no crió de cada especie más que dos, macho ",1500,1588,no creer que V,non-interrogative,other,cree,finite,ind,ind,mató,finite,ind,ind,That
"no cree que  nace de la mente de su príncipe, y procura el remedio con la violencia. Ejemplos funestos ",1600,1640-1642 ,no creer que V,non-interrogative,other,cree,finite,ind,ind,nace,finite,ind,ind,That
