Sentence,Period,Year,Year2,MClauseType,MClauseType2,Mverbclass,Mverbl,Mverbf,Mverbfin,Mverbtype,Construction,Everbf,Emood,Emoodrase,EClauseType
"no creyendo que tal don fuese. E él demandó a la reina. E yo d'esto fue triste, e dígela con esta condición: que en todo mi reino d'él non fuese tocada; e si algún cavallero ge la tirase por fuerça de armas, que el don no f",1500,1501,1501,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que hombre mortal pudiese hazer lo que él hazía, y el gran trabajo que pasava y avía pasado. E dixo a su hijo:",1500,1517,1517,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que tan presto se pudiesen alcançar cosas tan grandes. A lo qual responde el Sabio que la bendición del Señor se apresura por hazer mercedes al justo y en honra ligera frutifica su proceso.,1500,1527,1527,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que los llamáys por ocasión de puñirlos no sean rebeldes, y quando estén presentes fortificarse con los que son sin ",1500,1536,1536,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que en el mundo vuiesse cauallero que a la bondad déste se ygualasse e lo que más le espantaua ,1500,1547,1547,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que fuesse visión menor que divina. De donde no con mucha razón la hermosa infanta Lindabrides al su Cavallero del Febo podrá culpar si, herido de tan fuerte y poderoso golpe, alguna ",1500,1555,1555,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
no creyendo que en el mundo fuesse quien semejante cosa hazer ,1500,1555,1555,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que era verdad, sino que lo soñaba, les dixo primero que ellos le hablasen: ",1500,1560,1560,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"no creyendo que fuera tan bien proveído, ",1500,1560,1560,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
"No creyendo que tan gran traición se hiciera a los nuestros, aumentó la indignación y coraje de Cortés hallar cuando ",1500,1560,1560,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
Y no creyendo  que fuese tanta gente Miguel Pérez Zapata,1500,1562,1562,noninterrogative,,non-factive,creer (believe),creyendo,nonfinite,gerund,,,,,
